date;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;temp_dailyMean;temp_dailyMax;temp_dailyMin;hum_7h;hum_14h;hum_19h;windBeauf_7h;windBeauf_14h;windBeauf_19h;precip
2016-01-01;10;10;9;;0.6;-0.9;-1.8;0.8;-4.3;88;89;94;0;1;2;0.4
2016-01-02;10;10;10;-1.1;;-3.9;-1.1;1.9;-4.0;96;92;89;2;3;3;Spuren
2016-01-03;10;10;10;-40.0;-5.2;-5.2;-5.0;-3.8;-6.2;79;75;73;3;3;3;Spuren
2016-01-04;9;10;10;-6.0;-6.5;-7.7;-6.3;-4.8;-7.7;82;86;90;4;3;2;4.6
2016-01-05;8;10;10;-7.1;-6.4;-6.1;-6.6;-5.4;-7.7;89;91;92;2;2;2;Spuren
2016-01-06;10;10;10;-3.9;-2.3;-2.1;-4.0;-1.9;-6.1;98;96;96;2;2;1;Spuren
2016-01-07;7;10;10;-2.3;0.6;0.3;-1.8;0.9;-4.5;93;88;92;1;2;1;Spuren
2016-01-08;6;1;9;;8.9;3.7;3.1;9.0;-2.9;98;56;74;2;4;2;0
2016-01-09;10;10;10;0.8;1.4;1.1;1.5;3.7;-0.8;100;100;100;1;2;2;4.7
2016-01-10;10;10;10;0.9;3.5;1.3;2.2;3.6;0.8;100;94;100;1;1;1;Spuren
2016-01-11;10;10;10;1.4;3.4;7.5;4.3;7.6;1.0;100;96;82;1;2;3;1.1
2016-01-12;7;6;7;6.6;9.6;6.0;8.0;10.3;5.7;69;58;73;4;5;4;Spuren
2016-01-13;3;7;3;4.8;6.1;5.3;6.1;7.7;4.4;72;69;74;4;6;6;0.2
2016-01-14;9;1;1;4.1;6.6;3.0;5.0;7.3;2.7;63;46;73;4;3;2;0
2016-01-15;10;4;2;3.2;5.1;1.8;3.2;6.1;0.2;68;58;76;2;4;4;0.2
2016-01-16;10;9;9;1.0;1.5;0.6;1.3;2.0;0.6;84;60;69;3;3;3;Spuren
