date;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;temp_dailyMean;temp_dailyMax;temp_dailyMin;hum_7h;hum_14h;hum_19h;windBeauf_7h;windBeauf_14h;windBeauf_19h;precip
2014-01-01;10;4;10;4.1;6.3;3.9;5.0;6.7;3.3;95;66;95;3;1;3;0
2014-01-02;9;6;1;4.0;6.9;2.4;4.8;7.5;2.0;83;63;85;3;1;2;0.8
2014-01-03;0;9;8;0.6;3.8;1.2;2.3;4.8;-0.2;100;87;98;1;2;1;0
2014-01-04;8;10;10;1.8;3.4;5.3;3.1;5.3;0.9;98;98;98;2;3;3;Spuren
2014-01-05;10;10;10;8.3;8.7;6.6;8.1;10.9;5.3;92;72;81;2;5;4;0.6
2014-01-06;2;2;1;4.7;9.9;3.9;7.0;10.3;3.6;88;59;93;1;2;1;0
2014-01-07;10;10;10;3.9;5.5;4.5;4.1;5.6;2.6;96;87;96;1;1;2;Spuren
2014-01-08;10;10;10;3.4;4.9;3.2;4.1;4.9;3.2;97;89;98;2;2;2;Spuren
2014-01-09;10;10;10;2.3;3.4;4.0;3.1;4.0;2.1;98;97;97;2;1;2;0.1
2014-01-10;9;5;1;7.0;9.6;6.3;6.6;9.9;3.3;77;49;63;4;4;3;Spuren
2014-01-11;6;9;7;;7.9;5.8;3.9;7.9;-0.1;96;64;92;1;3;2;Spuren
2014-01-12;1;8;0;5.1;6.8;1.4;5.1;8.8;1.4;60;53;78;4;3;2;0
2014-01-13;0;5;1;-2.9;4.9;0.8;1.0;5.2;-3.3;99;63;89;1;2;1;0
2014-01-14;10;10;9;;4.0;5.8;3.4;6.4;0.4;98;91;80;1;2;2;0.1
2014-01-15;8;8;1;4.4;8.1;2.5;5.4;8.3;2.5;79;59;81;3;3;2;0
2014-01-16;6;9;9;-1.1;40.0;4.5;1.9;5.4;-1.7;98;86;90;1;1;2;0
2014-01-17;10;9;10;;5.6;4.8;4.4;5.6;3.1;97;81;89;2;1;1;0
2014-01-18;10;10;10;2.7;4.0;5.4;4.1;5.5;2.6;97;100;97;1;2;1;Spuren
2014-01-19;8;9;7;2.8;12.8;;7.8;12.9;2.7;97;59;80;1;3;2;Spuren
2014-01-20;10;10;10;8.2;9.2;40.0;8.2;9.9;6.5;96;94;81;3;2;4;1.2
2014-01-21;10;10;10;4.7;;4.2;5.4;6.6;4.1;88;88;90;3;3;3;4
2014-01-22;10;9;10;1.6;3.4;2.2;2.7;4.2;1.2;94;81;82;1;2;2;Spuren
2014-01-23;10;9;10;-1.1;-0.1;-0.8;0.2;2.2;-1.9;86;76;75;2;2;2;Spuren
2014-01-24;10;10;10;-0.9;-0.4;0.1;-0.9;0.1;-1.8;92;100;98;2;2;2;Spuren
2014-01-25;9;8;9;-4.4;-0.7;-6.0;-2.9;0.2;-6.0;68;43;70;3;4;2;0
2014-01-26;9;10;10;-9.7;-5.1;-5.8;-7.5;-5.1;-9.8;71;58;83;2;1;2;0.1
2014-01-27;10;10;10;-4.6;-4.0;-40.0;-4.6;-3.2;-5.9;89;91;89;3;3;2;0.8
2014-01-28;9;10;10;-2.7;-0.3;-0.3;-1.6;0.1;-3.3;89;80;79;1;2;2;Spuren
2014-01-29;10;10;8;;-0.7;;-1.6;-0.3;-2.9;92;87;89;2;3;4;0.5
2014-01-30;10;10;9;-2.5;-1.1;-0.3;-1.4;-0.2;-2.6;86;85;87;3;4;4;0.1
2014-01-31;10;10;10;-1.5;-1.1;-1.5;-0.8;0.2;-1.7;88;83;82;4;3;4;Spuren
2014-02-01;10;10;10;-3.3;;-1.7;-2.4;-1.4;-3.4;88;81;81;4;4;4;Spuren
2014-02-02;10;10;10;-1.2;-0.3;-0.4;-1.1;-0.1;-2.0;93;94;98;3;3;3;2.9
2014-02-03;10;10;10;-1.4;0.3;0.3;-0.5;0.6;-1.6;90;81;79;3;4;4;0
2014-02-04;9;10;10;-1.0;-0.5;-0.9;-0.5;0.4;-1.4;87;85;93;3;4;4;0
2014-02-05;10;10;10;-1.5;1.5;1.0;0.1;1.8;-1.6;94;81;92;3;3;3;0.1
2014-02-06;10;8;1;0.4;4.6;1.4;3.0;5.9;0.0;99;80;93;1;2;2;Spuren
2014-02-07;10;9;4;0.5;7.2;;3.4;7.7;-0.9;100;74;93;3;3;1;0.1
2014-02-08;10;8;9;5.0;8.7;6.0;5.5;10.2;0.7;87;67;86;2;4;3;0
2014-02-09;9;10;10;1.9;3.3;4.6;3.8;6.1;1.4;97;96;90;1;2;3;4
2014-02-10;4;9;10;-0.6;7.0;7.1;3.2;7.4;-1.0;92;67;75;0;3;4;0.7
2014-02-11;10;9;9;6.7;9.6;40.0;7.7;9.6;5.7;81;56;75;2;3;2;5
2014-02-12;10;9;8;2.9;7.4;6.5;4.5;7.7;1.2;96;61;62;1;2;3;6.3
2014-02-13;3;1;9;-0.7;8.5;5.2;4.0;9.1;-1.2;97;51;84;2;2;3;Spuren
2014-02-14;9;3;0;6.8;10.3;;7.7;10.8;4.5;57;38;55;4;3;2;0
2014-02-15;9;9;1;2.6;9.6;7.8;5.9;10.2;1.5;93;56;63;2;4;3;0
2014-02-16;5;10;10;6.9;8.5;6.3;5.6;9.6;1.5;81;68;82;3;3;3;0.1
2014-02-17;10;9;9;5.3;8.4;7.3;6.8;8.7;4.8;79;71;80;1;2;1;Spuren
2014-02-18;8;10;10;-0.3;5.8;5.5;3.5;7.4;-0.5;100;82;88;1;3;3;0
