date;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;temp_dailyMean;temp_dailyMax;temp_dailyMin;hum_7h;hum_14h;hum_19h;windBeauf_7h;windBeauf_14h;windBeauf_19h;precip
2010-01-01;10;9;10;4.1;5.2;3.8;4.6;6.5;2.7;94;93;94;1;1;1;3.6
2010-01-02;10;9;8;1.8;40.0;-0.1;2.2;4.4;-0.1;92;72;65;3;3;4;3.9
2010-01-03;4;10;9;-2.7;-0.3;-1.4;-1.3;0.4;-3.0;69;69;72;4;3;0;0.4
2010-01-04;9;8;0;-1.8;-0.9;;-1.7;0.0;-3.4;79;73;80;2;3;2;0
2010-01-05;10;10;10;-3.0;-3.4;-2.6;-3.8;-2.6;-5.0;86;94;86;2;3;3;6.2
2010-01-06;10;7;7;-2.4;;-2.1;-1.8;-0.5;-3.1;93;81;89;1;2;1;1.1
2010-01-07;9;9;5;-2.5;0.3;-2.9;-1.3;0.5;-3.1;85;73;88;2;2;2;2.8
2010-01-08;10;10;10;-2.5;-1.1;-0.1;-1.9;0.0;-3.8;92;94;93;3;2;2;14
2010-01-09;10;10;10;0.1;0.0;0.4;0.5;1.2;-0.2;92;91;95;2;2;1;9.4
2010-01-10;10;10;10;-0.4;0.6;-0.3;0.2;0.8;-0.4;88;81;79;4;3;3;Spuren
2010-01-11;9;10;10;-1.1;-0.2;-1.4;-0.8;-0.1;-1.5;77;75;81;3;2;1;Spuren
2010-01-12;3;2;10;-4.5;-2.2;-3.1;-3.1;-1.4;-4.8;91;78;83;2;2;2;0
2010-01-13;10;10;10;-2.7;-1.3;-0.6;-1.9;-0.6;-3.2;91;87;83;3;3;3;Spuren
2010-01-14;10;10;10;-0.9;-0.2;0.0;-0.5;0.0;-1.0;84;83;81;3;3;4;Spuren
2010-01-15;10;10;10;-0.4;1.0;0.2;0.4;1.2;-0.5;82;78;84;3;2;2;0
2010-01-16;10;4;0;-0.2;2.2;0.2;1.1;2.6;-0.4;84;66;74;2;4;4;0
2010-01-17;10;9;10;-2.3;-0.4;-1.1;-1.1;0.3;-2.5;87;81;91;4;3;3;9.3
2010-01-18;10;10;10;1.9;2.9;1.8;1.3;3.8;-1.2;92;88;91;3;3;2;6.3
2010-01-19;9;9;10;40.0;4.0;1.9;2.9;4.6;1.1;88;72;84;3;2;1;Spuren
2010-01-20;10;10;10;;-0.5;-1.9;0.0;1.9;-1.9;93;74;74;1;2;2;0.2
2010-01-21;10;10;10;-6.4;;-40.0;-4.5;-1.8;-7.1;82;80;77;2;2;2;1.5
2010-01-22;10;5;10;-6.5;-4.4;-5.9;-5.6;-4.3;-6.8;78;71;71;2;3;2;Spuren
2010-01-23;10;5;1;-7.9;-5.7;-9.1;-7.3;-5.3;-9.2;78;72;80;2;2;2;Spuren
2010-01-24;10;10;9;-9.6;-4.1;-5.5;-7.1;-3.9;-10.3;89;81;82;1;3;3;Spuren
2010-01-25;7;9;9;-6.1;-3.3;-4.0;-4.9;-3.2;-6.5;81;74;75;4;4;3;0.6
2010-01-26;10;7;5;-6.6;-4.4;-6.1;-5.3;-3.9;-6.7;83;73;74;3;2;2;0.1
2010-01-27;0;0;5;-11.6;-4.7;-8.4;-8.1;-4.4;-11.7;75;60;71;2;1;1;1
2010-01-28;10;7;10;-2.6;1.3;1.0;-3.6;2.1;-9.2;88;69;72;2;4;4;1.1
2010-01-29;8;8;8;0.4;3.4;0.1;2.0;3.9;0.1;78;65;69;4;4;2;Spuren
2010-01-30;9;9;10;-0.1;3.1;0.5;1.4;3.4;-0.6;75;64;66;2;3;2;Spuren
2010-01-31;9;10;6;-1.2;-0.5;-1.9;-0.4;1.2;-2.0;70;71;64;3;3;4;0.2
2010-02-01;6;7;5;-1.9;1.6;-1.4;-0.9;1.7;-3.5;71;61;61;4;4;3;Spuren
2010-02-02;9;4;0;-0.9;;-0.1;0.8;3.4;-1.9;74;61;65;3;4;2;Spuren
2010-02-03;8;10;10;40.0;5.6;1.7;2.1;5.9;-1.8;61;71;94;2;5;2;2.6
2010-02-04;10;10;9;-0.9;-1.1;-0.3;0.3;1.9;-1.3;93;91;80;1;3;2;Spuren
2010-02-05;10;10;9;0.0;3.1;1.7;1.7;3.9;-0.5;80;78;84;3;3;2;0
2010-02-06;10;10;9;0.4;2.6;2.1;1.5;2.8;0.2;73;59;62;2;1;3;0
2010-02-07;9;7;7;-4.0;-3.1;-4.0;-1.0;2.4;-4.4;72;70;69;3;3;2;0.2
2010-02-08;10;4;3;-40.0;-3.9;;-4.8;-3.2;-6.4;80;69;69;2;2;1;Spuren
2010-02-09;10;10;10;-5.8;-2.3;-3.1;-4.1;-2.2;-6.0;76;73;75;2;3;4;Spuren
2010-02-10;10;10;10;-3.0;-0.7;-1.6;-1.9;-0.5;-3.2;81;84;83;3;1;1;3.3
2010-02-11;10;10;10;-3.2;-2.5;-3.0;-2.4;-1.6;-3.2;87;78;84;3;2;3;1.5
2010-02-12;10;9;10;-4.1;-1.5;-1.7;-2.8;-1.3;-4.2;83;74;76;3;2;3;0.1
2010-02-13;9;9;8;-2.6;-0.1;-0.8;-1.3;0.0;-2.6;74;70;71;3;3;3;0
2010-02-14;10;10;10;-2.0;-0.7;-1.4;-1.2;-0.3;-2.1;72;68;69;2;2;2;Spuren
2010-02-15;10;9;9;-2.9;-0.3;-2.4;-1.5;0.2;-3.1;76;71;76;3;2;1;Spuren
2010-02-16;10;10;10;-2.6;-1.1;-2.2;-1.9;-1.0;-2.7;81;78;83;1;2;3;0
2010-02-17;10;10;1;0.1;3.0;2.5;0.8;3.7;-2.2;85;78;79;3;3;3;0
2010-02-18;10;10;10;1.2;2.4;1.6;2.0;2.9;1.0;90;84;86;2;2;1;0
2010-02-19;10;10;10;0.7;2.5;4.1;2.9;5.6;0.2;96;94;93;3;2;2;5.7
2010-02-20;10;10;8;2.5;40.0;2.6;3.2;4.2;2.2;89;71;72;4;3;3;1.1
2010-02-21;9;4;4;1.7;7.3;3.3;4.3;7.7;0.8;70;50;57;3;3;2;0
2010-02-22;5;8;7;-2.1;5.7;4.1;2.6;7.3;-2.2;89;67;74;2;1;1;0
2010-02-23;10;9;6;1.0;;1.6;3.5;7.0;-0.1;94;71;86;1;1;1;0
2010-02-24;5;8;4;-0.2;9.8;6.4;4.6;9.9;-0.7;95;64;78;1;2;1;0
2010-02-25;8;3;1;1.9;13.7;10.0;7.9;14.4;1.3;93;48;62;0;2;3;0
2010-02-26;8;10;10;4.5;7.1;5.9;7.1;10.0;4.2;85;83;90;2;3;2;2.5
2010-02-27;7;2;3;5.8;11.6;5.4;8.8;12.1;5.4;62;41;59;4;3;1;0
2010-02-28;5;8;10;4.8;;10.8;8.7;13.5;3.8;61;53;62;2;2;1;1.4
2010-03-01;2;2;0;9.0;13.3;8.1;10.2;13.7;6.7;52;41;48;4;5;2;0
2010-03-02;7;6;10;3.1;9.7;6.3;6.2;10.3;2.1;66;49;67;2;2;3;0.4
2010-03-03;3;4;1;1.6;8.5;40.0;5.3;9.2;1.4;76;49;55;2;3;2;0
2010-03-04;10;10;10;1.1;3.9;2.9;2.9;4.8;1.0;62;61;62;2;2;2;0
2010-03-05;6;8;2;-2.1;1.6;-1.9;0.4;2.9;-2.1;62;50;58;4;4;3;Spuren
2010-03-06;6;9;10;-3.8;0.5;-3.2;-1.9;0.7;-4.5;65;60;90;1;3;3;0.7
2010-03-07;10;9;1;-3.9;;-2.5;-2.3;0.3;-4.8;72;60;60;3;3;2;Spuren
2010-03-08;4;6;1;-5.4;-0.1;-2.3;-2.8;1.1;-6.6;71;50;57;1;3;2;0
2010-03-09;7;5;0;-5.5;;-0.8;-1.7;2.8;-6.2;68;42;48;1;3;3;0
2010-03-10;9;9;9;-5.8;3.4;2.6;-1.0;4.0;-6.0;69;51;48;2;3;2;0.4
2010-03-11;10;10;10;-0.7;0.5;;0.9;2.6;-0.9;90;92;85;2;2;2;1.5
2010-03-12;9;9;9;0.0;3.8;1.3;2.3;5.3;-0.8;74;58;75;4;4;4;Spuren
2010-03-13;9;10;10;2.2;5.4;3.3;3.5;6.3;0.7;74;65;75;4;4;4;Spuren
2010-03-14;9;4;8;4.1;40.0;4.6;5.9;8.4;3.3;70;60;69;4;4;5;2.3
2010-03-15;8;7;5;1.0;4.6;2.9;3.3;5.7;0.9;66;49;74;4;4;4;0.2
2010-03-16;9;10;9;4.6;5.7;3.9;4.3;6.5;2.1;76;67;68;4;3;3;3.7
2010-03-17;10;10;9;3.3;8.9;5.6;6.5;10.2;2.8;74;61;68;2;2;1;0.1
2010-03-18;5;4;4;2.0;15.7;10.0;8.3;16.6;0.0;87;39;51;1;2;2;0
2010-03-19;9;9;8;;18.1;13.9;10.4;18.5;2.2;84;35;50;1;4;2;0
2010-03-20;9;9;8;4.5;;12.7;9.4;16.1;2.7;85;56;58;1;2;1;Spuren
2010-03-21;10;10;2;;16.5;14.9;12.8;16.8;8.8;75;63;65;1;4;3;0.6
2010-03-22;9;7;4;11.1;13.8;11.0;13.6;16.1;11.0;80;67;71;3;2;2;0
2010-03-23;8;5;2;4.9;16.8;13.0;11.2;18.2;4.2;85;55;62;1;2;2;0
2010-03-24;1;3;1;5.1;17.7;14.9;11.2;18.4;4.0;93;52;58;2;3;3;0
2010-03-25;7;5;5;12.2;18.9;15.4;15.3;19.6;10.9;79;58;66;3;5;3;0
2010-03-26;8;8;1;;21.8;68.8;14.9;22.8;7.0;95;44;52;1;3;3;Spuren
2010-03-27;8;6;4;9.7;15.6;44.0;13.2;17.2;9.1;64;49;53;3;3;2;Spuren
2010-03-28;6;3;6;8.5;14.5;10.1;10.4;14.6;6.1;78;56;66;3;4;4;Spuren
2010-03-29;9;7;6;10.0;19.0;14.2;13.7;19.9;7.5;70;50;59;1;2;1;Spuren
2010-03-30;9;2;8;7.3;20.5;15.9;13.8;21.4;6.2;82;45;49;1;3;4;Spuren
2010-03-31;10;10;10;8.8;9.2;7.7;10.6;15.9;5.2;75;65;74;4;3;2;6.7
2010-04-01;1;3;6;7.1;16.1;7.5;10.1;17.1;3.1;73;48;67;1;3;5;3.8
2010-04-02;9;6;9;4.2;9.8;;7.0;11.1;2.9;87;56;61;3;2;2;Spuren
2010-04-03;0;6;9;2.5;14.9;13.5;8.1;15.7;0.5;90;46;47;1;2;3;0
2010-04-04;8;6;9;6.9;16.5;13.3;11.1;17.7;4.4;80;52;59;1;3;3;3.8
2010-04-05;10;10;10;;9.2;9.3;10.2;13.4;6.9;91;76;68;3;4;4;4.4
2010-04-06;0;4;1;5.9;12.8;10.6;9.4;13.6;5.2;71;50;52;4;4;2;0
2010-04-07;0;1;1;6.1;14.3;11.5;9.4;15.4;3.4;70;56;58;2;2;2;0
2010-04-08;1;1;0;6.1;18.3;14.3;10.8;18.4;3.1;85;49;53;1;4;2;0
2010-04-09;1;9;9;8.7;73.6;13.0;12.6;19.2;5.9;81;48;65;1;3;4;Spuren
2010-04-10;8;9;9;8.9;10.2;7.4;10.3;13.1;7.4;64;65;69;3;3;3;2.6
2010-04-11;9;9;9;5.4;10.6;7.5;8.0;10.9;5.0;80;64;70;3;3;3;Spuren
2010-04-12;9;10;10;5.1;6.5;6.4;5.4;7.5;3.3;82;90;96;2;2;2;29
2010-04-13;10;10;10;7.2;9.5;9.7;8.4;10.5;6.3;96;92;90;1;1;2;15.2
2010-04-14;10;10;10;7.8;9.1;8.2;8.7;9.7;7.7;93;89;90;2;2;2;13.2
2010-04-15;10;9;10;7.8;10.0;8.5;9.0;10.4;7.6;81;74;88;4;4;4;13.4
2010-04-16;9;5;7;8.7;14.9;13.4;12.3;16.1;8.4;81;58;62;3;3;3;Spuren
2010-04-17;0;1;0;7.4;14.3;11.2;10.1;15.2;5.0;63;43;51;2;2;1;0
2010-04-18;5;7;5;7.5;15.6;13.4;9.5;16.0;3.0;71;47;57;1;4;3;Spuren
2010-04-19;2;8;2;11.4;19.0;16.8;13.7;20.5;6.8;68;43;39;4;3;3;Spuren
2010-04-20;0;7;8;10.4;20.1;14.8;13.5;20.2;6.7;72;43;59;0;2;3;0.8
2010-04-21;2;5;1;13.0;17.1;12.7;14.4;17.4;11.4;61;46;45;3;4;3;0.1
2010-04-22;8;9;4;6.6;14.1;11.0;10.1;14.9;5.3;60;38;51;2;2;3;0
2010-04-23;9;10;10;7.4;9.8;10.8;7.6;11.0;4.1;81;76;70;2;3;2;0
2010-04-24;10;0;0;10.6;17.7;15.1;14.1;18.9;9.2;67;53;61;2;1;1;0
2010-04-25;8;8;4;10.4;21.6;18.6;14.4;22.2;6.5;69;49;50;0;2;2;0
2010-04-26;8;10;9;13.7;19.3;15.0;15.9;22.4;9.3;74;55;67;1;3;1;0.2
2010-04-27;8;6;9;15.2;19.2;15.2;15.8;20.1;11.5;64;53;68;1;1;1;3.2
2010-04-28;6;5;6;12.2;18.5;15.4;14.0;19.1;8.9;65;42;46;2;2;2;0
2010-04-29;6;5;5;11.1;22.6;19.6;15.0;23.1;6.9;73;46;47;1;3;3;0
2010-04-30;2;4;9;12.2;24.6;23.0;17.6;25.9;9.2;72;51;51;1;2;2;Spuren
2010-05-01;8;9;10;15.9;22.6;18.4;19.5;23.6;15.4;74;56;71;3;2;2;6.9
2010-05-02;10;9;9;14.3;18.0;18.1;16.4;19.2;13.5;83;71;70;3;2;3;0.2
2010-05-03;10;10;10;13.0;;13.2;15.1;18.1;12.1;79;82;88;1;1;1;4.3
2010-05-04;10;8;10;13.4;18.0;13.3;14.9;18.0;11.8;87;70;90;1;2;3;2.5
2010-05-05;10;10;10;9.8;12.8;10.6;11.5;13.3;9.7;89;77;91;2;2;3;8.3
2010-05-06;5;4;5;;21.2;18.1;16.1;21.7;10.4;95;47;47;1;4;4;Spuren
2010-05-07;9;9;7;12.3;17.1;13.9;14.5;18.9;10.1;72;56;78;1;2;2;0.8
2010-05-08;9;9;10;12.6;17.5;15.1;14.0;17.9;10.0;75;60;63;1;1;2;Spuren
2010-05-09;2;7;8;13.3;18.6;16.9;16.1;20.5;11.6;71;56;61;2;2;2;Spuren
2010-05-10;7;9;10;13.8;20.1;14.5;16.5;21.2;11.7;79;58;91;1;3;2;8.9
2010-05-11;6;9;9;14.2;81.2;19.7;16.4;22.1;10.7;92;57;56;1;3;3;0
2010-05-12;8;10;8;15.6;16.1;15.9;16.7;19.7;13.7;68;70;71;3;2;2;Spuren
2010-05-13;5;10;10;13.5;18.7;13.7;14.7;19.7;9.7;81;60;92;1;2;2;20.8
2010-05-14;10;9;5;11.3;13.4;11.5;12.3;13.9;10.7;89;73;81;3;3;2;0.7
2010-05-15;10;10;10;10.4;12.9;;11.0;13.4;8.5;77;61;83;2;3;4;27.7
2010-05-16;10;10;10;6.3;9.5;9.3;8.6;10.8;6.3;88;76;85;5;5;5;18.5
2010-05-17;10;10;10;11.1;14.1;12.7;11.5;14.6;8.4;60;54;65;5;4;3;1.7
2010-05-18;10;10;9;11.9;13.7;11.3;12.4;14.3;10.5;69;59;67;4;4;3;Spuren
2010-05-19;6;10;10;10.4;51.2;10.0;11.2;14.2;8.1;65;58;81;4;3;2;1.7
2010-05-20;9;10;10;9.1;12.5;12.1;11.1;14.1;8.1;81;73;75;3;4;4;2.8
2010-05-21;10;8;7;12.4;16.7;15.9;14.5;17.4;11.5;89;75;74;3;4;4;2.5
2010-05-22;8;9;8;14.9;18.9;16.2;17.4;21.5;13.2;79;66;80;3;3;3;8
2010-05-23;7;9;8;14.9;14.7;16.4;17.5;21.2;13.7;75;80;85;3;3;3;12.1
2010-05-24;8;7;8;17.2;24.4;;19.3;25.2;13.4;71;50;51;3;4;3;2.2
2010-05-25;8;2;7;16.0;91.2;18.1;18.9;24.1;13.7;87;62;81;0;2;1;8.5
2010-05-26;10;7;6;14.6;21.5;17.6;17.9;22.1;13.6;94;63;86;2;2;2;3.9
2010-05-27;9;10;9;17.7;18.1;15.1;17.3;20.5;14.0;78;82;88;1;1;3;5.1
2010-05-28;9;4;9;15.2;22.6;21.0;18.1;23.4;12.8;81;56;58;1;2;3;0.1
2010-05-29;7;7;8;17.4;21.9;19.4;18.8;22.3;15.3;70;54;60;2;2;2;0.1
2010-05-30;10;9;7;15.9;18.5;15.1;18.3;21.4;15.1;85;85;81;2;2;2;14.6
